FIRE,X11_Open_water,X31_Barren_land_rock_sand_clay,X41_Deciduous_forest,X42_Evergreen_forest,X43_Mixed_forest,X52_Shrub_scrub,X71_Grassland_herbaceous,X81_Pasture_hay,X82_Cultivated_crops,X90_Woody_wetlands,X95_Emergent_herbaceous_wetlands,X12_Perennial_ice_snow,pop_year,nb_feux_voisins_lag,av_temp_hi,av_temp_lo,av_temp_mean,av_precip,av_wind_speed,av_cloud_cover,av_humidity,county_size,nb_feux_lag,percentage_area_burned_prev_week,XX_Developed,.pred_NON_FEU,.pred_FEU
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,2,18.3272727272727,7.28636363636364,12.3681818181818,0.454090909090909,21.6727272727273,26.5045454545455,68.3827272727273,212541,0,0,1308.6594,0.8280036741378195,0.17199632586218014
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,4,17.7636363636364,8.00454545454545,12.3590909090909,0.203181818181818,22.9,39.7227272727273,69.3359090909091,212541,0,0,1308.6594,0.8025701973596451,0.19742980264035484
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,5,18.2045454545455,8.50909090909091,12.8590909090909,0.173181818181818,24.9227272727273,41.0272727272727,67.5195454545455,212541,0,0,1308.6594,0.655380672125797,0.34461932787420296
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,20,20.5590909090909,9.48636363636364,14.6227272727273,0.0927272727272727,24.5,36.6545454545455,62.6763636363636,212541,5,6.586964397457431e-6,1308.6594,0.38163425253991284,0.618365747460087
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,14,20.4545454545455,8.87727272727273,14.2909090909091,0.115909090909091,26.3227272727273,30.2863636363636,59.7259090909091,212541,4,5.222521772269822e-6,1308.6594,0.33143980809546847,0.6685601919045314
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,3,20.3636363636364,9.06363636363636,14.2181818181818,0.539545454545455,26.0818181818182,35.5227272727273,61.9027272727273,212541,1,4.7049745696124514e-7,1308.6594,0.42106421703296726,0.5789357829670331
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,15,18.3590909090909,9.28181818181818,13.1181818181818,0.612272727272727,27.6363636363636,45.0772727272727,67.9818181818182,212541,3,5.645969483534941e-6,1308.6594,0.511623263528924,0.488376736471076
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,17,18.0363636363636,9.49090909090909,13.2272727272727,1.73181818181818,26.4363636363636,48.3727272727273,68.5586363636364,212541,2,5.175472026573697e-6,1308.6594,0.5743494569757726,0.4256505430242274
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,12,19.1454545454545,10.5090909090909,14.1454545454545,1.22318181818182,26.0772727272727,48.4181818181818,69.2163636363636,212541,1,1.176243642403113e-6,1308.6594,0.5817995603446263,0.418200439655374
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,28,21.5409090909091,11.25,15.6409090909091,1.18636363636364,25.1681818181818,43.2090909090909,67.9181818181818,212541,2,9.409949139224903e-6,1308.6594,0.4194408376461438,0.5805591623538564
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,30,25.1681818181818,12.6363636363636,17.9863636363636,0.841363636363636,25.2727272727273,31.3409090909091,64.3627272727273,212541,8,3.086463317665768e-5,1308.6594,0.29810137794609726,0.701898622053903
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,26,26.6818181818182,12.85,18.9590909090909,0.883181818181818,24.4909090909091,20.1318181818182,62.4731818181818,212541,6,1.3220978540610988e-5,1308.6594,0.25088474384240755,0.7491152561575924
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,47,28.8227272727273,13.7272727272727,20.4772727272727,0.883181818181818,24.0136363636364,13.7727272727273,59.0854545454545,212541,12,2.950019055147007e-5,1308.6594,0.2611916923870377,0.738808307612962
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,19,26.0136363636364,13.5363636363636,18.8863636363636,0.887727272727273,25.1454545454545,31.4227272727273,65.0154545454545,212541,7,0.002432001355032676,1308.6594,0.28317640170463065,0.7168235982953692
